,1,2,5,34,8,18,10,16,40,21,30,31,41,42,45,0,12,13,14,15,20,22,23,24,25,27,32,33,38,44,3,17,19,35,37,39,46,26,28,43,36
score,55.0,53.0,51.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
score,,,,,52.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
score,,,,,,,41.0,54.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
score,,,,,,,,,,42.0,45.0,50.0,53.0,51.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,
score,,,,,,,,,,,,,,,,52.0,54.0,53.0,52.0,50.0,56.0,57.0,45.0,59.0,57.0,50.0,51.0,51.0,53.0,52.0,,,,,,,,,,,
score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,49.0,56.0,54.0,50.0,50.0,59.0,,,,
score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,49.0,43.0,
score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0
