,tiredness_level_1,tiredness_level_2,tiredness_level_3,tiredness_level_4,tiredness_level_5,tiredness_level_6,tiredness_level_7,tiredness_level_8
level1,1,0.329,0.358,0.224,0.771,0.629,0.0199,n
level2,0.329,1,0.336,0.151,0.422,0.592,0.064,n
level3,0.358,0.336,1,0.931,0.127,0.192,0.424,n
level4,0.224,0.151,0.931,1,0.515,0.0874,0.199,n
level5,0.771,0.422,0.127,0.0515,1,0.769,0.00218,n
level6,0.629,0.592,0.192,0.0874,0.769,1,0.0103,n
level7,0.0199,0.064,0.424,0.199,0.00218,0.0103,1,n
level8,n,n,n,n,n,n,n,n
